id	genus	species	inf	sub	new low	new high	cfp_endemic	Baja Island endem	Native (1=native)	CaRH	KR	NCo	NCoRO	CaRF	NCoRH	NCoRI	nSNH	ScV	nSNF	SnFrB	CCo	cSNF	SnJV	cSNH	sSNH	sSNF	SCoRI	SCoRO	Teh	WTR	SnGb	SnBr	SCo	PR	nChI	SnJt	sChI	BCo	BMtns	OrCo	OrMtns	BG	SNE	MP	WaI	Wrn	DMoj	DMtns	DSon
81	Cryptogramma	cascadensis	0	0	2100	3400	0	0	1	1	1	0	0	0	0	0	1	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
82	Notholaena	californica	0	0	200	1300	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	1	0	1	1	0	0	0	0	0	0	0	0	0	0	1	1
83	Pellaea	andromedifolia	0	0	30	1800	1	0	1	0	0	0	1	1	1	1	1	0	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0
84	Pellaea	brachyptera	0	0	700	2200	0	0	1	1	1	0	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
85	Pellaea	breweri	0	0	1500	3700	0	0	1	0	1	0	0	0	0	0	1	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	1	0	1	0
86	Pellaea	bridgesii	0	0	1200	3200	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
87	Pellaea	mucronata	0	0	20	3000	0	0	1	1	0	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	0	0	0	0	1	0	1	0	0	1	0
88	Pellaea	mucronata	var.	californica	1800	3000	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	1	1	1	0	1	0	1	0	0	0	0	0	0	1	0	1	0	0	1	0
89	Pellaea	mucronata	var.	mucronata	20	2400	0	0	1	1	0	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0	1	0
90	Pellaea	truncata	0	0	1200	1900	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
91	Pentagramma	pallida	0	0	100	1200	1	0	1	0	0	0	0	0	0	0	1	0	1	0	0	1	0	1	1	1	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
92	Pentagramma	triangularis	0	0	0	2300	0	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	0	0	0	0	1	1	1	0	0	1	0
93	Pentagramma	triangularis	subsp.	maxonii	300	1400	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0
94	Pentagramma	triangularis	subsp.	triangularis	0	2300	0	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	0	0	0	0	1	1	1	0	0	1	0
95	Pentagramma	triangularis	subsp.	viscosa	0	800	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	1	1	1	0	0	1	0	0	0	0	0	0	0
96	Pteris	cretica	0	0	0	500	0	0	2	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
97	Pteris	tremula	0	0	550	650	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
98	Pteris	vittata	0	0	400	800	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
99	Selaginella	asprella	0	0	1600	2700	1	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	1	1	0	1	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0
