id	taxon	Low_elevation	High_elevation	CFP endemicity	CA nativity
466	Ageratina occidentalis	2100	3700	no	yes
467	Ageratina shastensis	400	1800	yes	yes
468	Agoseris apargioides	0	500	no	yes
469	Agoseris apargioides var. apargioides	0	500	yes	yes
470	Agoseris apargioides var. eastwoodiae	0	50	no	yes
471	Agoseris aurantiaca	1500	3500	no	yes
472	Agoseris elata	1600	3200	no	yes
473	Agoseris glauca	1400	3800	no	yes
474	Agoseris glauca var. glauca	1400	2500	no	yes
475	Agoseris glauca var. laciniata	1400	3800	no	yes
476	Agoseris glauca var. monticola	1500	3800	no	yes
477	Agoseris grandiflora	0	2000	no	yes
478	Agoseris heterophylla	0	2000	no	yes
479	Agoseris retrorsa	400	2800	no	yes
480	Amblyopappus pusillus	0	50	no	yes
481	Ambrosia acanthicarpa	0	2200	no	yes
482	Ambrosia ambrosioides	0	100	no	yes
483	Ambrosia artemisiifolia	0	650	no	no
484	Ambrosia chamissonis	0	25	no	yes
485	Ambrosia chenopodiifolia	0	150	yes	yes
486	Ambrosia confertiflora	0	350	no	yes
487	Ambrosia dumosa	0	1600	no	yes
488	Ambrosia eriocentra	800	1700	no	yes
489	Ambrosia ilicifolia	0	500	no	yes
490	Ambrosia psilostachya	0	1000	no	yes
491	Ambrosia pumila	0	150	no	yes
492	Ambrosia trifida	0	100	no	no
493	Amphipappus fremontii	0	1600	no	yes
494	Amphipappus fremontii var. fremontii	0	1600	no	yes
495	Amphipappus fremontii var. spinosus	0	1600	no	yes
496	Anaphalis margaritacea	0	3200	no	yes
497	Ancistrocarphus filagineus	0	1900	no	yes
498	Anisocoma acaulis	600	2400	no	yes
499	Antennaria argentea	800	2000	no	yes
500	Antennaria corymbosa	1900	3200	no	yes
501	Antennaria dimorpha	800	2400	no	yes
502	Antennaria flagellaris	1700	1800	no	yes
503	Antennaria geyeri	900	2400	no	yes
504	Antennaria howellii ssp. howellii	1300	2000	no	yes
505	Antennaria luzuloides	1300	1900	no	yes
506	Antennaria marginata	2100	2200	no	yes
507	Antennaria media	1800	3900	no	yes
508	Antennaria pulchella	2800	3700	no	yes
509	Antennaria racemosa	1200	2000	no	yes
510	Antennaria rosea	1200	3700	no	yes
511	Antennaria rosea ssp. confinis	1200	3700	no	yes
512	Antennaria rosea ssp. rosea	1200	3700	no	yes
513	Antennaria suffrutescens	500	1600	yes	yes
514	Antennaria umbrinella	1800	2000	no	yes
515	Anthemis arvensis	1000	4300	no	no
516	Anthemis cotula	0	2000	no	no
517	Anthemis tinctoria	0	2000	no	no
518	Arctium lappa	0	500	no	no
519	Arctium minus	0	1200	no	no
520	Arctotheca calendula	0	250	no	no
521	Arctotis stoechadifolia	0	300	no	no
522	Argyranthemum foeniculaceum	0	200	no	no
523	Arnica amplexicaulis	2200	3500	no	yes
524	Arnica cernua	500	1500	yes	yes
525	Arnica chamissonis ssp. foliosa	1800	3500	no	yes
