id	taxon	N	country	state	county	place.name	collection	accession	notes	created.by	created.date	modified.by	modified.date	source.family	source.taxon	source.genus	source.species	source.subspp.taxa	source.original.location	collection.type	collection.date	source.N	sun_shade	RefFile	RefRecord	Notes	blade_area_cm2	specific_leaf_area_cm2_g-1	blade_length_cm	blade_width_cm	leaf_thickness_micron	Num_lflets
54	Amelanchier utahensis	4	NA	NA	NA	NA	UCBG	82.1002		D. Ackerly	7/13/06			ROSACEAE	Amelanchier utahensis	Amelanchier	utahensis			botanic garden	07/24/01	4	Sun	LfDat01.xls/UCBG.2001	119		2.89	89.18	2.07	1.60		1
55	Arbutus andrachne	3	NA	NA	NA	NA	UCBG	74.011		D. Ackerly	7/13/06			ERICACEAE	Arbutus andrachne	Arbutus	andrachne			botanic garden	11/20/01	3	Shade	LfDat01.xls/UCBG11.20.01	1	shaded, resprouting lvs	31.86	103.14				1
56	Arbutus andrachnoides	3	NA	NA	NA	NA	SABG	71-0402		D. Ackerly	7/13/06			ERICACEAE	Arbutus andrachnoides	Arbutus	andrachnoides			botanic garden	11/02/01	3	Sun	Strybing110201.xls/data	1		29.32	82.16				1
57	Arbutus arizonica	4	NA	NA	NA	NA	UCBG	92.0088		D. Ackerly	7/13/06			ERICACEAE	Arbutus arizonica	Arbutus	arizonica			botanic garden	11/20/01	4	Sun	LfDat01.xls/UCBG11.20.01	2		12.81	38.02				1
58	Arbutus canariensis	3	NA	NA	NA	NA	SABG	1		D. Ackerly	7/13/06			ERICACEAE	Arbutus canariensis	Arbutus	canariensis			botanic garden	00xxxx	3	Sun	LfDat00.xls/SABG.2000	12		27.09	84.82			283.36	1
59	Arbutus canariensis	3	NA	NA	NA	NA	SABG	2		D. Ackerly	7/13/06			ERICACEAE	Arbutus canariensis	Arbutus	canariensis			botanic garden	00xxxx	3	Sun	LfDat00.xls/SABG.2000	13		40.13	92.50				1
60	Arbutus menziesii	1	NA	NA	NA	NA	SABG	1		D. Ackerly	7/13/06			ERICACEAE	Arbutus menziesii	Arbutus	menziesii			botanic garden	00xxxx	1	Sun	LfDat00.xls/SABG.2000	14		44.13	46.68			320.52	1
61	Arbutus menziesii	1	NA	NA	NA	NA	SABG	2		D. Ackerly	7/13/06			ERICACEAE	Arbutus menziesii	Arbutus	menziesii			botanic garden	00xxxx	1	Sun	LfDat00.xls/SABG.2000	15		22.86	63.49				1
62	Arbutus menziesii	4	NA	NA	NA	NA	UCBG	83.1432		D. Ackerly	7/13/06			ERICACEAE	Arbutus menziesii	Arbutus	menziesii			botanic garden	11/20/01	4	Sun	LfDat01.xls/UCBG11.20.01	4		37.82	58.88				1
63	Arbutus menziesii	3	NA	NA	NA	NA	UCBG	78.0011		D. Ackerly	7/13/06			ERICACEAE	Arbutus menziesii	Arbutus	menziesii			botanic garden	11/20/01	3	Shade	LfDat01.xls/UCBG11.20.01	3	Shaded tree	53.09	87.24				1
64	Arbutus spMexico	3	NA	NA	NA	NA	UCBG	97.0496		D. Ackerly	7/13/06			ERICACEAE	Arbutus spMexico	Arbutus	spMexico			botanic garden	11/20/01	3	Sun	LfDat01.xls/UCBG11.20.01	5		18.53	48.12				1
65	Arbutus texana	3	NA	NA	NA	NA	SABG	na		D. Ackerly	7/13/06			ERICACEAE	Arbutus texana	Arbutus	texana			botanic garden	11/02/01	3	Sun	Strybing110201.xls/data	2		16.63	63.73				1
66	Arbutus unedo	3	NA	NA	NA	NA	SABG			D. Ackerly	7/13/06			ERICACEAE	Arbutus unedo	Arbutus	unedo			botanic garden	00xxxx	3	Sun	LfDat00.xls/SABG.2000	16		10.47	74.11			266.69	1
67	Arbutus unedo	4	NA	NA	NA	NA	UCBG	76.068		D. Ackerly	7/13/06			ERICACEAE	Arbutus unedo	Arbutus	unedo			botanic garden	11/20/01	4	Sun	LfDat01.xls/UCBG11.20.01	6		13.54	78.22				1
68	Arbutus xalapensis	4	NA	NA	NA	NA	UCBG	94.1529		D. Ackerly	7/13/06			ERICACEAE	Arbutus xalapensis	Arbutus	xalapensis			botanic garden	11/20/01	4	Sun	LfDat01.xls/UCBG11.20.01	7		26.87	48.41				1
69	Arctostaphylos andersonii	5	NA	NA	NA	NA	UCBG	92.0971		D. Ackerly	7/13/06			ERICACEAE	Arctostaphylos andersonii	Arctostaphylos	andersonii			botanic garden	11/20/01	5	Sun	LfDat01.xls/UCBG11.20.01	8		6.41	48.68				1
70	Arctostaphylos bakeri ssp. bakeri	5	NA	NA	NA	NA	UCBG	84.0411		D. Ackerly	7/13/06			ERICACEAE	Arctostaphylos bakeri ssp. bakeri	Arctostaphylos	bakeri	ssp._bakeri		botanic garden	11/20/01	5	Sun	LfDat01.xls/UCBG11.20.01	9		0.88	42.30				1
71	Arctostaphylos confertiifolia	4	NA	NA	NA	NA	SABG	62-0443		D. Ackerly	7/13/06			ERICACEAE	Arctostaphylos confertiifolia	Arctostaphylos	confertiifolia			botanic garden	11/02/01	4	Sun	Strybing110201.xls/data	3		8.42	43.70				1
72	Arctostaphylos hispidula	5	NA	NA	NA	NA	UCBG	89.1662		D. Ackerly	7/13/06			ERICACEAE	Arctostaphylos hispidula	Arctostaphylos	hispidula			botanic garden	11/20/01	5	Sun	LfDat01.xls/UCBG11.20.01	10		3.91	49.74				1
73	Arctostaphylos hookeri ssp. franciscana	3	NA	NA	NA	NA	SABG	87-0574		D. Ackerly	7/13/06			ERICACEAE	Arctostaphylos hookeri ssp. franciscana	Arctostaphylos	hookeri	ssp._franciscana		botanic garden	11/02/01	3	Sun	Strybing110201.xls/data	5		2.52	39.27				1
74	Arctostaphylos hookeri ssp. franciscana	5	NA	NA	NA	NA	SABG	var.accesionsBed35		D. Ackerly	7/13/06			ERICACEAE	Arctostaphylos hookeri ssp. franciscana	Arctostaphylos	hookeri	ssp._franciscana		botanic garden	11/02/01	5	Sun	Strybing110201.xls/data	4		1.35	43.95				1
75	Arctostaphylos hookeri ssp. hookeri	4	NA	NA	NA	NA	UCBG	83.001		D. Ackerly	7/13/06			ERICACEAE	Arctostaphylos hookeri ssp. hookeri	Arctostaphylos	hookeri	ssp._hookeri		botanic garden	11/20/01	4	Sun	LfDat01.xls/UCBG11.20.01	12		2.12	43.08				1
76	Arctostaphylos manzanita ssp. manzanita	5	NA	NA	NA	NA	SABG	81-0269		D. Ackerly	7/13/06			ERICACEAE	Arctostaphylos manzanita ssp. Manzanita	Arctostaphylos	manzanita	ssp._Manzanita		botanic garden	11/02/01	5	Sun	Strybing110201.xls/data	6		5.55	46.24				1
