id	means.id	source	source.id	taxon	trait	dstate	cval	units	country	state	county	place	lat	long
151	60	ackerly04	134	Ceanothus maritimus	specific_leaf_area	NA	46	cm2/g	NA	NA	NA	NA	NA	NA
152	50	ackerly04	111	Ceanothus gloriosus var. gloriosus	specific_leaf_area	NA	35.17	cm2/g	NA	NA	NA	NA	NA	NA
153	41	ackerly04	97	Ceanothus cuneatus var. cuneatus	specific_leaf_area	NA	47.24	cm2/g	NA	NA	NA	NA	NA	NA
154	52	ackerly04	116	Ceanothus griseus	specific_leaf_area	NA	64.64	cm2/g	NA	NA	NA	NA	NA	NA
155	60	ackerly04	138	Ceanothus maritimus	specific_leaf_area	NA	33.42	cm2/g	NA	NA	NA	NA	NA	NA
156	60	ackerly04	140	Ceanothus maritimus	specific_leaf_area	NA	17.03	cm2/g	NA	NA	NA	NA	NA	NA
157	41	ackerly04	94	Ceanothus cuneatus var. cuneatus	specific_leaf_area	NA	57.05	cm2/g	NA	NA	NA	NA	NA	NA
158	70	ackerly04	160	Ceanothus thyrsiflorus	specific_leaf_area	NA	108.16	cm2/g	NA	NA	NA	NA	NA	NA
159	39	ackerly04	90	Ceanothus cordulatus	specific_leaf_area	NA	417.61	cm2/g	NA	NA	NA	NA	NA	NA
160	40	ackerly04	92	Ceanothus crassifolius	specific_leaf_area	NA	27.67	cm2/g	NA	NA	NA	NA	NA	NA
161	49	ackerly04	110	Ceanothus gloriosus var. exaltatus	specific_leaf_area	NA	45.6	cm2/g	NA	NA	NA	NA	NA	NA
162	40	ackerly04	91	Ceanothus crassifolius	specific_leaf_area	NA	38.66	cm2/g	NA	NA	NA	NA	NA	NA
163	38	ackerly04	89	Ceanothus arboreus	specific_leaf_area	NA	57.9	cm2/g	NA	NA	NA	NA	NA	NA
164	45	ackerly04	103	Ceanothus divergens	specific_leaf_area	NA	35.52	cm2/g	NA	NA	NA	NA	NA	NA
165	47	ackerly04	105	Ceanothus ferrisiae	specific_leaf_area	NA	29.16	cm2/g	NA	NA	NA	NA	NA	NA
166	55	ackerly04	125	Ceanothus incanus	specific_leaf_area	NA	89.14	cm2/g	NA	NA	NA	NA	NA	NA
167	57	ackerly04	130	Ceanothus jepsonii var. jepsonii	specific_leaf_area	NA	34.47	cm2/g	NA	NA	NA	NA	NA	NA
168	63	ackerly04	145	Ceanothus megacarpus var. megacarpus	specific_leaf_area	NA	49.46	cm2/g	NA	NA	NA	NA	NA	NA
169	55	ackerly04	126	Ceanothus incanus	specific_leaf_area	NA	71.39	cm2/g	NA	NA	NA	NA	NA	NA
170	46	ackerly04	104	Ceanothus diversifolius	specific_leaf_area	NA	120.54	cm2/g	NA	NA	NA	NA	NA	NA
171	52	ackerly04	117	Ceanothus griseus	specific_leaf_area	NA	53.86	cm2/g	NA	NA	NA	NA	NA	NA
172	66	ackerly04	152	Ceanothus papillosus	specific_leaf_area	NA	46.8	cm2/g	NA	NA	NA	NA	NA	NA
173	75	bsh	725	Ceanothus arboreus	seed_mass	NA	9.257	mg	USA	CA	NA	NA	NA	NA
174	75	bsh	726	Ceanothus arboreus	seed_mass	NA	17.425	mg	USA	CA	NA	NA	NA	NA
175	75	bsh	727	Ceanothus arboreus	seed_mass	NA	15.55	mg	USA	CA	NA	NA	NA	NA
176	76	bsh	728	Ceanothus cordulatus	seed_mass	NA	3.21	mg	USA	CA	NA	NA	NA	NA
177	76	bsh	729	Ceanothus cordulatus	seed_mass	NA	2.12	mg	USA	CA	NA	NA	NA	NA
178	77	bsh	730	Ceanothus cuneatus var. cuneatus	seed_mass	NA	9.257	mg	USA	CA	NA	NA	NA	NA
179	77	bsh	731	Ceanothus cuneatus var. cuneatus	seed_mass	NA	13	mg	USA	CA	NA	NA	NA	NA
180	77	bsh	764	Ceanothus cuneatus var. cuneatus	seed_mass	NA	8.358	mg	USA	CA	NA	NA	NA	NA
181	78	bsh	765	Ceanothus cuneatus var. rigidus	seed_mass	NA	6.3	mg	USA	CA	NA	NA	NA	NA
182	78	bsh	766	Ceanothus cuneatus var. rigidus	seed_mass	NA	5.15	mg	USA	CA	NA	NA	NA	NA
183	78	bsh	767	Ceanothus cuneatus var. rigidus	seed_mass	NA	5.725	mg	USA	CA	NA	NA	NA	NA
184	78	bsh	768	Ceanothus cuneatus var. rigidus	seed_mass	NA	3.85	mg	USA	CA	NA	NA	NA	NA
185	98	bsh	732	Ceanothus dentatus	seed_mass	NA	3.5	mg	USA	CA	NA	NA	NA	NA
186	98	bsh	733	Ceanothus dentatus	seed_mass	NA	2.471	mg	USA	CA	NA	NA	NA	NA
