id	taxon	trait	dstate	value	sd	N	units	country	state	county	place.name	lat	long	loc.conf_km	created.by	created.date	modified.by	modified.date	source.taxon	source.trait	source.dstate	source.value	source.sd	source.N	source.units
499	Mimulus aurantiacus	Total lumen area	NA	99.984	NA	NA	mm2	USA	CA	San Mateo	Jasper Ridge Biological Preserve	37.4	-122.25	2	D. Ackerly	7/12/06	NA	NA	Mimulus aurantiacus	total_lumen_area	NA	99.984	NA	NA	mm2
500	Oemleria cerasiformis	Total lumen area	NA	109.185	NA	NA	mm2	USA	CA	San Mateo	Jasper Ridge Biological Preserve	37.4	-122.25	2	D. Ackerly	7/12/06	NA	NA	Oemleria cerasiformis	total_lumen_area	NA	109.185	NA	NA	mm2
501	Populus balsamifera ssp. trichocarpa	Total lumen area	NA	227.347	NA	NA	mm2	USA	CA	San Mateo	Jasper Ridge Biological Preserve	37.4	-122.25	2	D. Ackerly	7/12/06	NA	NA	Populus balsamifera ssp. trichocarpa	total_lumen_area	NA	227.347	NA	NA	mm2
502	Prunus ilicifolia ssp. ilicifolia	Total lumen area	NA	124.272	NA	NA	mm2	USA	CA	San Mateo	Jasper Ridge Biological Preserve	37.4	-122.25	2	D. Ackerly	7/12/06	NA	NA	Prunus ilicifolia ssp. ilicifolia	total_lumen_area	NA	124.272	NA	NA	mm2
503	Quercus agrifolia var. agrifolia	Total lumen area	NA	113.666	NA	NA	mm2	USA	CA	San Mateo	Jasper Ridge Biological Preserve	37.4	-122.25	2	D. Ackerly	7/12/06	NA	NA	Quercus agrifolia var. agrifolia	total_lumen_area	NA	113.666	NA	NA	mm2
504	Quercus douglasii	Total lumen area	NA	81.685	NA	NA	mm2	USA	CA	San Mateo	Jasper Ridge Biological Preserve	37.4	-122.25	2	D. Ackerly	7/12/06	NA	NA	Quercus douglasii	total_lumen_area	NA	81.685	NA	NA	mm2
505	Quercus durata var. durata	Total lumen area	NA	66.261	NA	NA	mm2	USA	CA	San Mateo	Jasper Ridge Biological Preserve	37.4	-122.25	2	D. Ackerly	7/12/06	NA	NA	Quercus durata var. durata	total_lumen_area	NA	66.261	NA	NA	mm2
506	Quercus kelloggii	Total lumen area	NA	125.789	NA	NA	mm2	USA	CA	San Mateo	Jasper Ridge Biological Preserve	37.4	-122.25	2	D. Ackerly	7/12/06	NA	NA	Quercus kelloggii	total_lumen_area	NA	125.789	NA	NA	mm2
507	Quercus lobata	Total lumen area	NA	94.437	NA	NA	mm2	USA	CA	San Mateo	Jasper Ridge Biological Preserve	37.4	-122.25	2	D. Ackerly	7/12/06	NA	NA	Quercus lobata	total_lumen_area	NA	94.437	NA	NA	mm2
508	Rhamnus californica ssp. californica	Total lumen area	NA	92.286	NA	NA	mm2	USA	CA	San Mateo	Jasper Ridge Biological Preserve	37.4	-122.25	2	D. Ackerly	7/12/06	NA	NA	Rhamnus californica ssp. californica	total_lumen_area	NA	92.286	NA	NA	mm2
509	Rhamnus crocea	Total lumen area	NA	30.217	NA	NA	mm2	USA	CA	San Mateo	Jasper Ridge Biological Preserve	37.4	-122.25	2	D. Ackerly	7/12/06	NA	NA	Rhamnus crocea	total_lumen_area	NA	30.217	NA	NA	mm2
510	Ribes californicum var. californicum	Total lumen area	NA	95.617	NA	NA	mm2	USA	CA	San Mateo	Jasper Ridge Biological Preserve	37.4	-122.25	2	D. Ackerly	7/12/06	NA	NA	Ribes californicum var. californicum	total_lumen_area	NA	95.617	NA	NA	mm2
511	Ribes divaricatum var. pubiflorum	Total lumen area	NA	94.157	NA	NA	mm2	USA	CA	San Mateo	Jasper Ridge Biological Preserve	37.4	-122.25	2	D. Ackerly	7/12/06	NA	NA	Ribes divaricatum var. pubiflorum	total_lumen_area	NA	94.157	NA	NA	mm2
512	Ribes malvaceum var. malvaceum	Total lumen area	NA	68.325	NA	NA	mm2	USA	CA	San Mateo	Jasper Ridge Biological Preserve	37.4	-122.25	2	D. Ackerly	7/12/06	NA	NA	Ribes malvaceum var. malvaceum	total_lumen_area	NA	68.325	NA	NA	mm2
513	Ribes sanguineum var. glutinosum	Total lumen area	NA	99.454	NA	NA	mm2	USA	CA	San Mateo	Jasper Ridge Biological Preserve	37.4	-122.25	2	D. Ackerly	7/12/06	NA	NA	Ribes sanguineum var. glutinosum	total_lumen_area	NA	99.454	NA	NA	mm2
514	Rosa californica	Total lumen area	NA	136.521	NA	NA	mm2	USA	CA	San Mateo	Jasper Ridge Biological Preserve	37.4	-122.25	2	D. Ackerly	7/12/06	NA	NA	Rosa californica	total_lumen_area	NA	136.521	NA	NA	mm2
515	Rosa spithamea	Total lumen area	NA	104.195	NA	NA	mm2	USA	CA	San Mateo	Jasper Ridge Biological Preserve	37.4	-122.25	2	D. Ackerly	7/12/06	NA	NA	Rosa spithamea	total_lumen_area	NA	104.195	NA	NA	mm2
516	Rubus parviflorus	Total lumen area	NA	201.462	NA	NA	mm2	USA	CA	San Mateo	Jasper Ridge Biological Preserve	37.4	-122.25	2	D. Ackerly	7/12/06	NA	NA	Rubus parviflorus	total_lumen_area	NA	201.462	NA	NA	mm2
517	Rubus ursinus	Total lumen area	NA	241.965	NA	NA	mm2	USA	CA	San Mateo	Jasper Ridge Biological Preserve	37.4	-122.25	2	D. Ackerly	7/12/06	NA	NA	Rubus ursinus	total_lumen_area	NA	241.965	NA	NA	mm2
518	Salix lasiolepis	Total lumen area	NA	189.882	NA	NA	mm2	USA	CA	San Mateo	Jasper Ridge Biological Preserve	37.4	-122.25	2	D. Ackerly	7/12/06	NA	NA	Salix lasiolepis	total_lumen_area	NA	189.882	NA	NA	mm2
519	Salix lucida ssp. lasiandra	Total lumen area	NA	213.007	NA	NA	mm2	USA	CA	San Mateo	Jasper Ridge Biological Preserve	37.4	-122.25	2	D. Ackerly	7/12/06	NA	NA	Salix lucida ssp. lasiandra	total_lumen_area	NA	213.007	NA	NA	mm2
520	Sambucus mexicana	Total lumen area	NA	149.161	NA	NA	mm2	USA	CA	San Mateo	Jasper Ridge Biological Preserve	37.4	-122.25	2	D. Ackerly	7/12/06	NA	NA	Sambucus mexicana	total_lumen_area	NA	149.161	NA	NA	mm2
521	Solanum umbelliferum	Total lumen area	NA	101.409	NA	NA	mm2	USA	CA	San Mateo	Jasper Ridge Biological Preserve	37.4	-122.25	2	D. Ackerly	7/12/06	NA	NA	Solanum umbelliferum	total_lumen_area	NA	101.409	NA	NA	mm2
