"","species","hemisphere","chilefornia_northbay","chilefornia_california","chilefornia_westernNA","fia_northbay","fia_california","fia_westernNA","CODE","SPECIES","COMMON.NAME","TR","SA","TS","hectares","rownum","notes"
"208","Pinus flexilis","north",0,460,196,0,21,5,NA,NA,NA,NA,NA,NA,NA,NA,NA
"209","Pinus jeffreyi","north",9,430,316,3,901,781,NA,NA,NA,NA,NA,NA,NA,NA,NA
"210","Pinus lambertiana","north",36,439,413,38,1241,1655,NA,NA,NA,NA,NA,NA,NA,NA,NA
"211","Pinus longaeva","north",0,247,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"212","Pinus monophylla","north",0,632,186,0,291,94,NA,NA,NA,NA,NA,NA,NA,NA,NA
"213","Pinus monticola","north",3,851,1078,1,296,758,NA,NA,NA,NA,NA,NA,NA,NA,NA
"214","Pinus muricata",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,17,""
"215","Pinus ponderosa","north",142,2445,2873,84,1923,2975,NA,NA,NA,NA,NA,NA,NA,18,""
"216","Pinus quadrifolia","north",0,96,98,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"217","Pinus radiata","north",0,105,95,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"218","Pinus sabiniana","north",183,1441,1367,53,502,497,NA,NA,NA,NA,NA,NA,NA,19,""
"219","Pinus virginiana",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"220","Pitavia punctata","south",0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"221","Platanus racemosa","north",9,2189,2052,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,20,""
"222","Podocarpus nubigenus","south",0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"223","Podocarpus salignus","south",0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"224","Polylepis rugulosa","south",0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"225","Polylepis tarapacana","south",0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"226","Populus angustifolia","north",0,27,12,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
"227","Populus balsamifera","north",10,694,693,0,21,219,NA,NA,NA,NA,NA,NA,NA,NA,NA
"228","Populus fremontii","north",60,1645,1192,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,21,""
"229","Populus tremuloides","north",1,671,431,0,46,38,NA,NA,NA,NA,NA,NA,NA,NA,NA
"230","Porlieria chilensis","south",0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
