species,hemisphere,chilefornia_northbay,chilefornia_california,chilefornia_westernNA,fia_northbay,fia_california,fia_westernNA
Chamaecyparis thyoides,north,NA,NA,NA,0,0,0
Condalia hookeri,north,NA,NA,NA,0,0,0
Cornus florida,north,NA,NA,NA,0,0,0
Crataegus crus-galli,north,NA,NA,NA,0,0,0
Diospyros texana,north,NA,NA,NA,0,0,0
Diospyros virginiana,north,NA,NA,NA,0,0,0
Fagus grandifolia,north,NA,NA,NA,0,0,0
Fraxinus americana,north,NA,NA,NA,0,0,0
Fraxinus nigra,north,NA,NA,NA,0,0,0
Fraxinus pennsylvanica,north,NA,NA,NA,0,0,0
Fraxinus quadrangulata,north,NA,NA,NA,0,0,0
Gleditsia triacanthos,north,NA,NA,NA,0,0,0
Gordonia lasianthus,north,NA,NA,NA,0,0,0
Gymnocladus dioicus,north,NA,NA,NA,0,0,0
Ilex opaca,north,NA,NA,NA,0,0,2
Juglans cinerea,north,NA,NA,NA,0,0,0
Juglans nigra,north,NA,NA,NA,0,0,0
Juniperus ashei,north,NA,NA,NA,0,0,0
Juniperus coahuilensis,north,NA,NA,NA,0,0,0
Juniperus deppeana,north,NA,NA,NA,0,0,0
Juniperus monosperma,north,NA,NA,NA,0,0,0
Juniperus pinchotii,north,NA,NA,NA,0,0,0
Juniperus virginiana,north,NA,NA,NA,0,0,0
Larix laricina,north,NA,NA,NA,0,0,0
Liquidambar styraciflua,north,NA,NA,NA,0,1,1
Liriodendron tulipifera,north,NA,NA,NA,0,0,0
Lithocarpus densiflorus,north,NA,NA,NA,323,930,1336
Maclura pomifera,north,NA,NA,NA,0,0,0
Magnolia acuminata,north,NA,NA,NA,0,0,0
Magnolia fraseri,north,NA,NA,NA,0,0,0
Magnolia grandiflora,north,NA,NA,NA,0,0,0
Magnolia macrophylla,north,NA,NA,NA,0,0,0
Magnolia virginiana,north,NA,NA,NA,0,0,0
Melia azedarach,north,NA,NA,NA,0,0,0
Morus alba,north,NA,NA,NA,0,0,0
Morus rubra,north,NA,NA,NA,0,0,0
Nyssa aquatica,north,NA,NA,NA,0,0,0
Nyssa biflora,north,NA,NA,NA,0,0,0
Nyssa sylvatica,north,NA,NA,NA,0,0,0
Ostrya virginiana,north,NA,NA,NA,0,0,0
Oxydendrum arboreum,north,NA,NA,NA,0,0,0
Paulownia tomentosa,north,NA,NA,NA,0,0,0
Persea borbonia,north,NA,NA,NA,0,0,0
Picea abies,north,NA,NA,NA,0,0,0
Picea mariana,north,NA,NA,NA,0,0,0
Picea pungens,north,NA,NA,NA,0,0,0
Picea rubens,north,NA,NA,NA,0,0,0
Pinus albicaulis,north,NA,NA,NA,0,83,85
Pinus aristata,north,NA,NA,NA,0,1,0
Pinus attenuata,north,NA,NA,NA,15,119,175
Pinus banksiana,north,NA,NA,NA,0,0,0
Pinus clausa,north,NA,NA,NA,0,0,0
Pinus discolor,north,NA,NA,NA,0,0,0
Pinus echinata,north,NA,NA,NA,0,0,0
Pinus edulis,north,NA,NA,NA,0,0,0
Pinus elliottii,north,NA,NA,NA,0,0,0
Pinus glabra,north,NA,NA,NA,0,0,0
Pinus palustris,north,NA,NA,NA,0,0,0
Pinus pungens,north,NA,NA,NA,0,0,0
Pinus resinosa,north,NA,NA,NA,0,0,0
Pinus rigida,north,NA,NA,NA,0,0,0
Pinus serotina,north,NA,NA,NA,0,0,0
Pinus strobiformis,north,NA,NA,NA,0,0,0
Pinus strobus,north,NA,NA,NA,0,0,0
Pinus sylvestris,north,NA,NA,NA,0,0,3
Pinus taeda,north,NA,NA,NA,0,0,0
Pinus virginiana,north,NA,NA,NA,0,0,0
Planera aquatica,north,NA,NA,NA,0,0,0
Platanus occidentalis,north,NA,NA,NA,0,0,0
Populus deltoides,north,NA,NA,NA,0,0,0
Populus grandidentata,north,NA,NA,NA,0,0,0
Prosopis velutina,north,NA,NA,NA,0,0,0
Prunus americana,north,NA,NA,NA,0,0,0
Prunus avium,north,NA,NA,NA,0,0,8
Prunus pensylvanica,north,NA,NA,NA,0,0,0
Prunus serotina,north,NA,NA,NA,0,0,0
Quercus alba,north,NA,NA,NA,0,0,0
Quercus arizonica,north,NA,NA,NA,0,0,0
Quercus bicolor,north,NA,NA,NA,0,0,0
Quercus coccinea,north,NA,NA,NA,0,0,0
Quercus ellipsoidalis,north,NA,NA,NA,0,0,0
Quercus emoryi,north,NA,NA,NA,0,0,0
Quercus falcata,north,NA,NA,NA,0,0,0
Quercus gambelii,north,NA,NA,NA,0,0,0
Quercus grisea,north,NA,NA,NA,0,0,0
Quercus hypoleucoides,north,NA,NA,NA,0,0,0
Quercus ilicifolia,north,NA,NA,NA,0,0,0
Quercus imbricaria,north,NA,NA,NA,0,0,0
Quercus incana,north,NA,NA,NA,0,0,0
Quercus laevis,north,NA,NA,NA,0,0,0
Quercus laurifolia,north,NA,NA,NA,0,0,0
Quercus lyrata,north,NA,NA,NA,0,0,0
Quercus macrocarpa,north,NA,NA,NA,0,0,0
Quercus margarettiae,north,NA,NA,NA,0,0,0
Quercus marilandica,north,NA,NA,NA,0,0,0
Quercus michauxii,north,NA,NA,NA,0,0,0
Quercus minima,north,NA,NA,NA,0,0,0
Quercus muehlenbergii,north,NA,NA,NA,0,3,3
Quercus nigra,north,NA,NA,NA,0,0,0
Quercus pagoda,north,NA,NA,NA,0,0,0
Quercus palustris,north,NA,NA,NA,0,0,0
Quercus phellos,north,NA,NA,NA,0,0,0
Quercus prinus,north,NA,NA,NA,0,0,0
Quercus rubra,north,NA,NA,NA,0,0,0
Quercus rugosa,north,NA,NA,NA,0,0,0
Quercus shumardii,north,NA,NA,NA,0,0,0
Quercus stellata,north,NA,NA,NA,0,0,0
Quercus texana,north,NA,NA,NA,0,0,0
Quercus velutina,north,NA,NA,NA,0,0,0
Quercus virginiana,north,NA,NA,NA,0,0,0
Robinia pseudoacacia,north,NA,NA,NA,0,0,4
Sabal palmetto,north,NA,NA,NA,0,0,0
Salix nigra,north,NA,NA,NA,0,1,4
Sassafras albidum,north,NA,NA,NA,0,0,0
Sideroxylon lanuginosum,north,NA,NA,NA,0,0,0
Sorbus americana,north,NA,NA,NA,0,0,0
Taxodium ascendens,north,NA,NA,NA,0,0,0
Taxodium distichum,north,NA,NA,NA,0,0,0
Thuja occidentalis,north,NA,NA,NA,0,0,0
Tilia americana,north,NA,NA,NA,0,0,0
Triadica sebifera,north,NA,NA,NA,0,0,0
Tsuga canadensis,north,NA,NA,NA,0,0,0
Ulmus alata,north,NA,NA,NA,0,0,0
Ulmus americana,north,NA,NA,NA,0,0,0
Ulmus crassifolia,north,NA,NA,NA,0,0,0
Ulmus pumila,north,NA,NA,NA,0,0,0
Ulmus rubra,north,NA,NA,NA,0,0,0
Ulmus thomasii,north,NA,NA,NA,0,0,0
