id	group	family	taxon	binomial	taxon.auth	genus	species	speciesAuth	intraRank	intraName	intraAuth	tjm1.valid	mrt	intra_rank	species_rank_or_only_subsp_in_CA
91	Fern	Pteridaceae	Pentagramma pallida	Pentagramma pallida	Pentagramma pallida (Weath.) G. Yatskievych, M.D. Windham & E. Wollenweber	Pentagramma	pallida	(Weath.) G. Yatskievych, M.D. Windham & E. Wollenweber				1	1	0	1
92	Fern	Pteridaceae	Pentagramma triangularis	Pentagramma triangularis	Pentagramma triangularis (Kaulf.) G. Yatskievych, M.D. Windham & E. Wollenweber	Pentagramma	triangularis	(Kaulf.) G. Yatskievych, M.D. Windham & E. Wollenweber				1	0	0	1
93	Fern	Pteridaceae	Pentagramma triangularis ssp. maxonii	Pentagramma triangularis	Pentagramma triangularis (Kaulf.) G. Yatskievych, M.D. Windham & E. Wollenweber ssp. maxonii (Weath.) G. Yatskievych, M.D. Windham & E. Wollenweber	Pentagramma	triangularis	(Kaulf.) G. Yatskievych, M.D. Windham & E. Wollenweber	ssp.	maxonii	(Weath.) G. Yatskievych, M.D. Windham & E. Wollenweber	1	1	1	0
94	Fern	Pteridaceae	Pentagramma triangularis ssp. triangularis	Pentagramma triangularis	Pentagramma triangularis (Kaulf.) G. Yatskievych, M.D. Windham & E. Wollenweber ssp. triangularis	Pentagramma	triangularis	(Kaulf.) G. Yatskievych, M.D. Windham & E. Wollenweber	ssp.	triangularis		1	1	1	0
95	Fern	Pteridaceae	Pentagramma triangularis ssp. viscosa	Pentagramma triangularis	Pentagramma triangularis (Kaulf.) G. Yatskievych, M.D. Windham & E. Wollenweber ssp. viscosa (D.C. Eaton) G. Yatskievych, M.D. Windham & E. Wollenweber	Pentagramma	triangularis	(Kaulf.) G. Yatskievych, M.D. Windham & E. Wollenweber	ssp.	viscosa	(D.C. Eaton) G. Yatskievych, M.D. Windham & E. Wollenweber	1	1	1	0
96	Fern	Pteridaceae	Pteris cretica	Pteris cretica	Pteris cretica L.	Pteris	cretica	L.				1	1	0	1
97	Fern	Pteridaceae	Pteris tremula	Pteris tremula	Pteris tremula R.Br.	Pteris	tremula	R.Br.				1	1	0	1
98	Fern	Pteridaceae	Pteris vittata	Pteris vittata	Pteris vittata L.	Pteris	vittata	L.				1	1	0	1
99	Fern	Selaginellaceae	Selaginella asprella	Selaginella asprella	Selaginella asprella Maxon	Selaginella	asprella	Maxon				1	1	0	1
100	Fern	Selaginellaceae	Selaginella bigelovii	Selaginella bigelovii	Selaginella bigelovii L. Underw.	Selaginella	bigelovii	L. Underw.				1	1	0	1
101	Fern	Selaginellaceae	Selaginella cinerascens	Selaginella cinerascens	Selaginella cinerascens Maxon	Selaginella	cinerascens	Maxon				1	1	0	1
102	Fern	Selaginellaceae	Selaginella densa var. scopulorum	Selaginella densa	Selaginella densa Rydb. var. scopulorum (Maxon) Tryon	Selaginella	densa	Rydb.	var.	scopulorum	(Maxon) Tryon	1	1	1	1
103	Fern	Selaginellaceae	Selaginella eremophila	Selaginella eremophila	Selaginella eremophila Maxon	Selaginella	eremophila	Maxon				1	1	0	1
104	Fern	Selaginellaceae	Selaginella hansenii	Selaginella hansenii	Selaginella hansenii Hieron.	Selaginella	hansenii	Hieron.				1	1	0	1
105	Fern	Selaginellaceae	Selaginella leucobryoides	Selaginella leucobryoides	Selaginella leucobryoides Maxon	Selaginella	leucobryoides	Maxon				1	1	0	1
106	Fern	Selaginellaceae	Selaginella oregana	Selaginella oregana	Selaginella oregana D.C. Eaton	Selaginella	oregana	D.C. Eaton				1	1	0	1
107	Fern	Selaginellaceae	Selaginella wallacei	Selaginella wallacei	Selaginella wallacei Hieron.	Selaginella	wallacei	Hieron.				1	1	0	1
108	Fern	Selaginellaceae	Selaginella watsonii	Selaginella watsonii	Selaginella watsonii L. Underw.	Selaginella	watsonii	L. Underw.				1	1	0	1
109	Fern	Thelypteridaceae	Thelypteris nevadensis	Thelypteris nevadensis	Thelypteris nevadensis (Baker) C. Morton	Thelypteris	nevadensis	(Baker) C. Morton				1	1	0	1
110	Fern	Thelypteridaceae	Thelypteris puberula var. sonorensis	Thelypteris puberula	Thelypteris puberula (Baker) C. Morton var. sonorensis A.R. Sm.	Thelypteris	puberula	(Baker) C. Morton	var.	sonorensis	A.R. Sm.	1	1	1	1
111	Gymno	Cupressaceae	Calocedrus decurrens	Calocedrus decurrens	Calocedrus decurrens (Torrey) Florin	Calocedrus	decurrens	(Torrey) Florin				1	1	0	1
112	Gymno	Cupressaceae	Cupressus abramsiana	Cupressus abramsiana	Cupressus abramsiana C. Wolf	Cupressus	abramsiana	C. Wolf				1	1	0	1
113	Gymno	Cupressaceae	Cupressus arizonica	Cupressus arizonica	Cupressus arizonica Greene	Cupressus	arizonica	Greene				1	0	0	1
114	Gymno	Cupressaceae	Cupressus arizonica ssp. arizonica	Cupressus arizonica	Cupressus arizonica Greene ssp. arizonica	Cupressus	arizonica	Greene	ssp.	arizonica		1	1	1	0
115	Gymno	Cupressaceae	Cupressus arizonica ssp. nevadensis	Cupressus arizonica	Cupressus arizonica Greene ssp. nevadensis (Abrams) E. Murray	Cupressus	arizonica	Greene	ssp.	nevadensis	(Abrams) E. Murray	1	1	1	0
116	Gymno	Cupressaceae	Cupressus bakeri	Cupressus bakeri	Cupressus bakeri Jeps.	Cupressus	bakeri	Jeps.				1	1	0	1
